bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: Meldanor-GraphDemo.jar, ROWS: 1, AVERAGE: 1.0
NAME: EthanAI-Sundial.jar, ROWS: 1, AVERAGE: 1.0
NAME: rbouckaert-DensiTree.jar, ROWS: 3, AVERAGE: 1.0
NAME: ngordon17-Carcassonne.jar, ROWS: 2, AVERAGE: 4.5
NAME: MrCraftCod-Osu-UserInfo.jar, ROWS: 1, AVERAGE: 1.0
NAME: justam58-cs240.jar, ROWS: 5, AVERAGE: 3.4
NAME: marsol0x-asteroids.jar, ROWS: 2, AVERAGE: 5.0
NAME: litianbo-Factory-Project.jar, ROWS: 47, AVERAGE: 1.1489362
NAME: efruchter-Filament-HIBERNATE.jar, ROWS: 27, AVERAGE: 2.6666667
NAME: mrm1st3r-CodeRunner.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: TheMrCaira-Java-Platformer.jar, ROWS: 2, AVERAGE: 1.0
NAME: martinhynar-exercises-java.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: burakfirik-ParallelPiedPipers.jar, ROWS: 2, AVERAGE: 1.5
NAME: chell22m-Digger-Jubel.jar, ROWS: 23, AVERAGE: 2.652174
NAME: sashavolv2-Transcribe.jar, ROWS: 1, AVERAGE: 1.0
NAME: mariojp-editorfigura.jar, ROWS: 3, AVERAGE: 1.0
NAME: griffon-griffon-swingx-ws-plugin.jar, ROWS: 25, AVERAGE: 2.56
NAME: rockon999-RockEngine.jar, ROWS: 1, AVERAGE: 1.0
NAME: jamiely-thirteen-java.jar, ROWS: 1, AVERAGE: 1.0
NAME: dominic82-mmi-swing.jar, ROWS: 8, AVERAGE: 2.25
NAME: Nakato53-javaShooter.jar, ROWS: 2, AVERAGE: 2.5
NAME: mjfuller-gravidog.jar, ROWS: 18, AVERAGE: 2.4444444
NAME: Kirinsoul-Hill-Giant-Killer.jar, ROWS: 7, AVERAGE: 2.0
NAME: mcgrew-bbc-util.jar, ROWS: 11, AVERAGE: 1.5454545
NAME: nCr78-Gkriniaris.jar, ROWS: 2, AVERAGE: 1.0
NAME: machaerus-tankwars.jar, ROWS: 2, AVERAGE: 1.5
NAME: silami91-Mokepon.jar, ROWS: 2, AVERAGE: 1.0
NAME: kripthor-micloc-sim.jar, ROWS: 2, AVERAGE: 1.0
NAME: haychris-SpeedReader.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: Creespye-JMud.jar, ROWS: 4, AVERAGE: 1.0
NAME: tkjn-GameTable.jar, ROWS: 16, AVERAGE: 1.0625
NAME: JeremyLautman-BrickBreaker.jar, ROWS: 1, AVERAGE: 1.0
NAME: Kruhlmann-Judoka.jar, ROWS: 1, AVERAGE: 2.0
NAME: samadlotia-components.jar, ROWS: 18, AVERAGE: 2.7222223
NAME: pauljxtan-montecarlo.jar, ROWS: 1, AVERAGE: 1.0
NAME: kenrocha-Algorithms.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: SebastianTroy-Evolving-Plants-2.0.jar, ROWS: 2, AVERAGE: 1.0
NAME: Clackity-flashcarder.jar, ROWS: 3, AVERAGE: 2.0
NAME: jeznag-HistoryNotebook.jar, ROWS: 4, AVERAGE: 1.0
NAME: aldoilsant-sigaim-csig.jar, ROWS: 1, AVERAGE: 3.0
NAME: TakeLab-Coral.jar, ROWS: 1, AVERAGE: 2.0
NAME: grze-euml.jar, ROWS: 553, AVERAGE: 2.238698
NAME: shinya-m-ItoPos.jar, ROWS: 1, AVERAGE: 1.0
NAME: Kashkas-pablo_dex.jar, ROWS: 1, AVERAGE: 1.0
NAME: Aditya123-HRMTDraft2.5-gh2.jar, ROWS: 1, AVERAGE: 1.0
NAME: shuoyangd-LinguaView.jar, ROWS: 3, AVERAGE: 4.0
NAME: michel-bailleul-award-center.jar, ROWS: 2, AVERAGE: 2.5
NAME: cardsurf-CodeSearch.jar, ROWS: 1, AVERAGE: 2.0
NAME: sho11ri05-novel.jar, ROWS: 5, AVERAGE: 1.2
NAME: thiensonho-CSMP3.0.jar, ROWS: 5, AVERAGE: 2.2
NAME: mattlaten-swarm-ai.jar, ROWS: 1, AVERAGE: 1.0
NAME: rahulkishorwani-DTA.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: huangyingw-quicksort.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: jetong-Java.jar, ROWS: 2, AVERAGE: 1.0
NAME: bourgesl-marlin-renderer.jar, ROWS: 46, AVERAGE: 2.0
NAME: Ooouch1-FlapPatternEnumeration.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: IntelligentSystems-PlanetWarsEngine.jar, ROWS: 2, AVERAGE: 1.5
NAME: griffon-griffon-coverflow-plugin.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: ahuff44-game-maker.jar, ROWS: 10, AVERAGE: 1.2
NAME: deusprogrammer-tcg-gen-lib-maven.jar, ROWS: 7, AVERAGE: 1.0
NAME: PontusWirsching-MinersOfAragos.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: unknown909-RSBot.jar, ROWS: 1, AVERAGE: 3.0
NAME: team-indigo-javaracer.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: Automical-CardsInSpace.jar, ROWS: 1, AVERAGE: 1.0
NAME: Sponk-MinecraftModinstaller.jar, ROWS: 1, AVERAGE: 1.0
NAME: RajivThamburaj-GravitySimulator.jar, ROWS: 1, AVERAGE: 7.0
NAME: fiji-Graph_Cut.jar, ROWS: 1, AVERAGE: 4.0
NAME: rrutt-RailWorld.jar, ROWS: 61, AVERAGE: 2.2786884
NAME: KaeruCT-pixelshooter.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: pashaisthebest-AutonomousAgents.jar, ROWS: 14, AVERAGE: 3.142857
NAME: robbyn-pureport.jar, ROWS: 12, AVERAGE: 1.8333334
NAME: chucshary-CallCenterCelulariOS.jar, ROWS: 1, AVERAGE: 1.0
NAME: dmbb966-BBMS.jar, ROWS: 1, AVERAGE: 2.0
NAME: MickeyPash-IS3-Project-Vis.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: Zarkonnen-Kobold-Pit.jar, ROWS: 1, AVERAGE: 4.0
NAME: serbFantom-Test.jar, ROWS: 1, AVERAGE: 4.0
NAME: woolleya-SwanseaA3Group6.jar, ROWS: 1, AVERAGE: 4.0
NAME: sebastianbenz-asteroids.jar, ROWS: 2, AVERAGE: 3.5
NAME: loefvet-BouncingBalls.jar, ROWS: 4, AVERAGE: 1.0
NAME: MathiasRobert-Snake.jar, ROWS: 1, AVERAGE: 1.0
NAME: RaSiel93-editor-graph.jar, ROWS: 13, AVERAGE: 1.3076923
NAME: tyzoid-platformer2d.jar, ROWS: 3, AVERAGE: 1.0
NAME: wizza-smile-PetriNetEditor.jar, ROWS: 45, AVERAGE: 3.0444446
NAME: mrtensai-LeaderPapetrie.jar, ROWS: 9, AVERAGE: 1.0
NAME: AdmiralLima-16.35-Final.jar, ROWS: 1, AVERAGE: 2.0
NAME: zacker150-pong.jar, ROWS: 1, AVERAGE: 1.0
NAME: Pseudien-SimpleFramesDriven.jar, ROWS: 1, AVERAGE: 1.0
NAME: alanhsu-Map-Distance-Calculator.jar, ROWS: 2, AVERAGE: 1.5
NAME: Stinox-MAUSE.jar, ROWS: 4, AVERAGE: 1.0
NAME: fajran-ubuntu-pkg-vis-prefuse.jar, ROWS: 2, AVERAGE: 2.5
NAME: dzolo-jimageviewer.jar, ROWS: 1, AVERAGE: 3.0
NAME: adasm-tetris.jar, ROWS: 1, AVERAGE: 1.0
NAME: C3Dev-JPaint.jar, ROWS: 5, AVERAGE: 1.0
NAME: ragnar0K-ANNFiD.jar, ROWS: 1, AVERAGE: 2.0
NAME: Zacfer-Airport.jar, ROWS: 13, AVERAGE: 3.2307692
NAME: mgorvat-Labyrinth_game.jar, ROWS: 6, AVERAGE: 1.0
NAME: CalebChan-jLOAF-Sandbox.jar, ROWS: 1, AVERAGE: 1.0
NAME: YasuharuFukuda-java.jar, ROWS: 2, AVERAGE: 2.0
NAME: gurult-ChaosTheory3.jar, ROWS: 7, AVERAGE: 1.8571428
NAME: Nateowami-Solve4x.jar, ROWS: 3, AVERAGE: 2.0
NAME: smidget-openshapa-lib.jar, ROWS: 1, AVERAGE: 4.0
NAME: viq854-lichee.jar, ROWS: 4, AVERAGE: 2.0
NAME: wenxinshi-FooBarTowerDefennse.jar, ROWS: 7, AVERAGE: 2.0
NAME: cesardl-facultad-sample-app.jar, ROWS: 1, AVERAGE: 1.0
NAME: jzampino-ECE419.jar, ROWS: 2, AVERAGE: 2.0
NAME: jmhfreire-Bruce.jar, ROWS: 2, AVERAGE: 1.0
NAME: suryawono-Snake.jar, ROWS: 2, AVERAGE: 2.0
NAME: delt0r-msms.jar, ROWS: 7, AVERAGE: 2.857143
NAME: gemmasmith-ship_simulation.jar, ROWS: 13, AVERAGE: 2.8461537
NAME: yytian-space-wargame.jar, ROWS: 11, AVERAGE: 2.8181818
NAME: Etherealflux-squadai.jar, ROWS: 3, AVERAGE: 2.0
NAME: hendrikp-GameFindRefuge.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: moey509-YelpInferenceGM.jar, ROWS: 1, AVERAGE: 1.0
NAME: zear-fled.jar, ROWS: 1, AVERAGE: 1.0
NAME: sih4sing5hong5-han3_ji7_tsoo1_kian3.jar, ROWS: 137, AVERAGE: 2.2481751
NAME: wesen-mididuino.jar, ROWS: 21, AVERAGE: 2.142857
NAME: moonserk-snake.jar, ROWS: 2, AVERAGE: 1.0
NAME: jacaato-TramSim.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: nathano-Sudoku.jar, ROWS: 6, AVERAGE: 3.0
NAME: jgraph-legacy-jgraph5.jar, ROWS: 278, AVERAGE: 3.4676259
NAME: Peachball-Game-of-Life.jar, ROWS: 15, AVERAGE: 1.4
NAME: Rosalila-HitboxEditor.jar, ROWS: 1, AVERAGE: 1.0
NAME: AishwaryaSohoni-hyperlinked_at.jar, ROWS: 5, AVERAGE: 2.0
NAME: fad777-Netus.jar, ROWS: 23, AVERAGE: 3.0869565
NAME: kyranstar-VisualProgramming.jar, ROWS: 28, AVERAGE: 2.1785715
NAME: EleniAg-Pong.jar, ROWS: 2, AVERAGE: 2.0
NAME: scottlow-Gelolwarsz.jar, ROWS: 1, AVERAGE: 4.0
NAME: johndu9-KesV.jar, ROWS: 1, AVERAGE: 3.0
NAME: jonath0000-animation-edit.jar, ROWS: 2, AVERAGE: 1.0
NAME: ChrisLundquist-CS143-Project.jar, ROWS: 4, AVERAGE: 1.75
NAME: wikipathways-reactome2gpml-converter.jar, ROWS: 6, AVERAGE: 1.5
NAME: Gentro-MagicCardSeperator.jar, ROWS: 1, AVERAGE: 2.0
NAME: Sedridor-AMIDST-CC.jar, ROWS: 13, AVERAGE: 1.6153846
NAME: nicholasjconn-Neocognitron-Java.jar, ROWS: 1, AVERAGE: 2.0
NAME: seotch-ITEE.jar, ROWS: 1, AVERAGE: 2.0
NAME: GGulati-MechSim.jar, ROWS: 2, AVERAGE: 2.0
NAME: CalamariAce-spacemadness.jar, ROWS: 15, AVERAGE: 2.9333334
NAME: Ccookkollars-flatWorld.jar, ROWS: 3, AVERAGE: 3.3333333
NAME: xtimes-PROJECT_IMAGE.jar, ROWS: 1, AVERAGE: 4.0
NAME: VjiaoBlack-LastChance.jar, ROWS: 5, AVERAGE: 1.0
NAME: caronpe-dessinvectoriel.jar, ROWS: 11, AVERAGE: 1.6363636
NAME: IvanTheForth-Spilled-Milk.jar, ROWS: 13, AVERAGE: 1.0769231
NAME: MrNex-Noble-Experiment.jar, ROWS: 16, AVERAGE: 1.1875
NAME: bejayoharen-SJWidgets.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: pigne-VehILux.jar, ROWS: 4, AVERAGE: 1.0
NAME: crehor-algo_class.jar, ROWS: 43, AVERAGE: 1.4186046
NAME: dvenis-sm-printer.jar, ROWS: 1, AVERAGE: 4.0
NAME: johnmay-caf.jar, ROWS: 5, AVERAGE: 2.6
NAME: egaeus-programming_exercises.jar, ROWS: 55, AVERAGE: 2.8
NAME: JSFernandes-Metamodel-Importer.jar, ROWS: 1, AVERAGE: 3.0
NAME: Noirello-MIHF_MDD.jar, ROWS: 1, AVERAGE: 1.0
NAME: jtwaugh-Motherlode-Clone.jar, ROWS: 1, AVERAGE: 1.0
NAME: SDavey149-Lost-in-Space.jar, ROWS: 9, AVERAGE: 2.0
NAME: jhirniak-Javario.jar, ROWS: 1, AVERAGE: 3.0
NAME: przemomiszcz-Project.jar, ROWS: 1, AVERAGE: 3.0
NAME: amrecio-mymom.jar, ROWS: 19, AVERAGE: 4.0
NAME: ndamiano-Checkers.jar, ROWS: 1, AVERAGE: 5.0
NAME: Zurmansor-AVL-Tree.jar, ROWS: 1, AVERAGE: 3.0
NAME: tantalum-tictactoe.jar, ROWS: 3, AVERAGE: 1.0
NAME: tckb-TarsosDSP-NBP.jar, ROWS: 9, AVERAGE: 3.4444444
NAME: eldemcan-drawer.jar, ROWS: 2, AVERAGE: 1.0
NAME: fiji-level_sets.jar, ROWS: 1, AVERAGE: 2.0
NAME: quanla-quan-util-core.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: janetZhang-objectRecong-git-5-9.jar, ROWS: 1, AVERAGE: 1.0
NAME: openstreetmap-OSMembrane.jar, ROWS: 32, AVERAGE: 2.96875
NAME: RogierKonings-DutchRisk.jar, ROWS: 2, AVERAGE: 3.0
NAME: baloise-jay.jar, ROWS: 1, AVERAGE: 7.0
NAME: codeniko-Yahtzee.jar, ROWS: 6, AVERAGE: 1.0
NAME: morris821028-hw-UML-Editor.jar, ROWS: 1, AVERAGE: 1.0
NAME: MilaKirova-PopTheBalloon.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: kimchouard-DevOO-H4301.jar, ROWS: 2, AVERAGE: 1.0
NAME: popingalex-AquaChess.jar, ROWS: 13, AVERAGE: 4.1538463
NAME: ComputerDruid-karel.jar, ROWS: 1, AVERAGE: 2.0
NAME: Fireblade-McLauncher.jar, ROWS: 1, AVERAGE: 2.0
NAME: chrisbramm-LastFM-History-Graph.jar, ROWS: 5, AVERAGE: 1.4
NAME: sattarab-mazewar-game.jar, ROWS: 2, AVERAGE: 2.0
NAME: sigurdfalk-PSO.jar, ROWS: 1, AVERAGE: 2.0
NAME: vzhong-DistributedMazewar.jar, ROWS: 2, AVERAGE: 2.0
NAME: ericcurtin-ACI-SpaceRace.jar, ROWS: 79, AVERAGE: 2.5949366
NAME: hanscanonico-ISIMA_Project_Graph.jar, ROWS: 1, AVERAGE: 1.0
NAME: JustinSDK-EasyJShop-Toy.jar, ROWS: 10, AVERAGE: 2.2
NAME: Naftoreiclag-Easy-Perms-Maker.jar, ROWS: 1, AVERAGE: 2.0
NAME: Str8AWay-Catamaran.jar, ROWS: 2, AVERAGE: 2.0
NAME: eforbes-Simple-Genetic-Algorithm-GCDS.jar, ROWS: 2, AVERAGE: 2.0
NAME: fxjordan-Java2DCanvasRenderEngine.jar, ROWS: 6, AVERAGE: 2.5
NAME: Dirbaio-NSMB-Editor-Java.jar, ROWS: 3, AVERAGE: 1.0
NAME: patrickmarino-City-Emergeny-Simulator.jar, ROWS: 1, AVERAGE: 2.0
NAME: Rafikii-Crosswalk-Simulator.jar, ROWS: 4, AVERAGE: 1.25
NAME: Calleberg-Operation_5A.jar, ROWS: 36, AVERAGE: 2.4444444
NAME: kiennd-AStarAlgorithm.jar, ROWS: 2, AVERAGE: 1.0
NAME: cyberpython-JAwesomeChart.jar, ROWS: 14, AVERAGE: 2.0
NAME: mikadobrain-neuronal_network.jar, ROWS: 2, AVERAGE: 2.0
NAME: scicek-The-Towers-Of-Hanoi-Graphical-Solver.jar, ROWS: 5, AVERAGE: 4.8
NAME: aravindc26-UniView.jar, ROWS: 1, AVERAGE: 5.0
NAME: ColonelThirtyTwo-Med-Image.jar, ROWS: 1, AVERAGE: 2.0
NAME: nteetor-Image-Classifier.jar, ROWS: 2, AVERAGE: 1.0
NAME: Sholy-BusinessProcessModelingTool.jar, ROWS: 9, AVERAGE: 2.3333333
NAME: GerardoBR2-programacion.jar, ROWS: 3, AVERAGE: 1.0
NAME: xitongzou-cardforge.jar, ROWS: 1, AVERAGE: 3.0
NAME: DirkyJerky-ProgrammingClass.jar, ROWS: 14, AVERAGE: 1.8571428
NAME: AWeinb-Advanced-Logon-Editor.jar, ROWS: 1, AVERAGE: 1.0
NAME: Aerthennar-nineveh.jar, ROWS: 20, AVERAGE: 1.85
NAME: mpoignant-ParticlesExplorer.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: Krill-Selda.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: wwwuxin-graphStudy.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: debuburu-java.jar, ROWS: 1, AVERAGE: 2.0
NAME: andrewswan-tally-ho.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: trituix-etapa1t2-329.jar, ROWS: 3, AVERAGE: 2.0
NAME: wallaceicy06-number-munchers.jar, ROWS: 1, AVERAGE: 1.0
NAME: kikmak42-SnakeLadder.jar, ROWS: 1, AVERAGE: 1.0
NAME: MaximeLeprovost-Map_Builder.jar, ROWS: 1, AVERAGE: 3.0
NAME: MichaelAlves-SortingAlgorithmAnimator.jar, ROWS: 3, AVERAGE: 1.0
NAME: kashmali-Maliable-PngBall.jar, ROWS: 4, AVERAGE: 1.25
NAME: hale-dungeon.jar, ROWS: 60, AVERAGE: 3.6666667
NAME: chsh-localsolr-locallucene-km.jar, ROWS: 5, AVERAGE: 3.2
NAME: schlabberdog-blocks.jar, ROWS: 1, AVERAGE: 4.0
NAME: mar9000-plantuml.jar, ROWS: 839, AVERAGE: 1.9940405
NAME: d4span-freemindfx.jar, ROWS: 19, AVERAGE: 2.0526316
NAME: rtuck99-routerMonitor.jar, ROWS: 5, AVERAGE: 2.2
NAME: betosaulo-Linear.jar, ROWS: 2, AVERAGE: 1.0
NAME: packetpirate-Generic-Zombie-Shooter.jar, ROWS: 63, AVERAGE: 1.8095238
NAME: Tjstretchalot-PlatformerRTS2D.jar, ROWS: 2, AVERAGE: 1.0
NAME: vipmax-hw2.jar, ROWS: 15, AVERAGE: 1.8
NAME: BingyiCao-Outpost.jar, ROWS: 2, AVERAGE: 1.0
NAME: mhelenurm-Bug.jar, ROWS: 2, AVERAGE: 4.0
NAME: scicek-Clock.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: gavalian-clas-scigraph.jar, ROWS: 5, AVERAGE: 3.2
NAME: tom-martin-engie.jar, ROWS: 2, AVERAGE: 1.0
NAME: dawnwords-LargestRectangle.jar, ROWS: 8, AVERAGE: 2.0
NAME: dcki-objects-in-space.jar, ROWS: 1, AVERAGE: 2.0
NAME: sgsga-FCoverage.jar, ROWS: 5, AVERAGE: 1.4
NAME: rogetfan-stock_client.jar, ROWS: 1, AVERAGE: 1.0
NAME: wenshunjosh-Springie_Part2_Wenshun_Partial.jar, ROWS: 21, AVERAGE: 1.6666666
NAME: geckotechno-PictureFrameGen.jar, ROWS: 2, AVERAGE: 2.0
NAME: jhurt-SensorNodeRouting.jar, ROWS: 52, AVERAGE: 1.8269231
NAME: EPCompSci-picture.jar, ROWS: 2, AVERAGE: 3.5
NAME: impjmichel-2DEindopdracht.jar, ROWS: 22, AVERAGE: 2.2727273
NAME: AbsentMoniker-ECE30862-Asteriods.jar, ROWS: 7, AVERAGE: 4.0
NAME: ericohansen-TopHat-3-TotalDestruction.jar, ROWS: 1, AVERAGE: 2.0
NAME: cybil-IntervenSim.jar, ROWS: 9, AVERAGE: 1.5555556
NAME: brianmdye-AIBirds.jar, ROWS: 17, AVERAGE: 1.5294118
NAME: vinhtc54-asg04.jar, ROWS: 3, AVERAGE: 2.0
NAME: stnatic-tcs-organizer.jar, ROWS: 3, AVERAGE: 1.0
NAME: sookinoby-MyTest.jar, ROWS: 5, AVERAGE: 1.8
NAME: BrianReallyMany-TrapGrid.jar, ROWS: 26, AVERAGE: 1.3461539
NAME: xupwup-LoLPatcher.jar, ROWS: 1, AVERAGE: 1.0
NAME: Gwalks91-leveleditor.jar, ROWS: 1, AVERAGE: 1.0
NAME: propra13-orga-gruppe66.jar, ROWS: 14, AVERAGE: 1.5714285
NAME: Mikester591-pd2-Michael-Huang-Jerry-Dai.jar, ROWS: 1, AVERAGE: 1.0
NAME: markkampe-Financial.jar, ROWS: 2, AVERAGE: 2.0
NAME: kevin-roark-4444-watermelons-group7.jar, ROWS: 3, AVERAGE: 1.0
NAME: tbullard-CS4731Prj.jar, ROWS: 1, AVERAGE: 2.0
NAME: twiztedcyph-SpaceInvaders.jar, ROWS: 3, AVERAGE: 3.3333333
NAME: vbudhram-Sortware.jar, ROWS: 5, AVERAGE: 1.4
NAME: Buzov-JavaCore.jar, ROWS: 2, AVERAGE: 2.5
NAME: samuelhug-cs_142_final_project.jar, ROWS: 18, AVERAGE: 2.5555556
NAME: djmorton42-wallgen.jar, ROWS: 1, AVERAGE: 4.0
NAME: Rusik-Geometry.jar, ROWS: 1, AVERAGE: 1.0
NAME: D4rkFr4g-Asteroids.jar, ROWS: 10, AVERAGE: 2.6
NAME: tonybj-hexagon.jar, ROWS: 2, AVERAGE: 1.0
NAME: Alecajuice-HiVolts.jar, ROWS: 1, AVERAGE: 1.0
NAME: Stealthii-Pacman.jar, ROWS: 1, AVERAGE: 1.0
NAME: Martin78b-DisenoDeSistemas.jar, ROWS: 1, AVERAGE: 2.0
NAME: LiamDeGrey-Mansion-Bandit.jar, ROWS: 1, AVERAGE: 1.0
NAME: alangpierce-CompGeomDemo.jar, ROWS: 23, AVERAGE: 2.347826
NAME: vaddmt-cheetah.jar, ROWS: 1, AVERAGE: 1.0
NAME: spayd-spayd-java.jar, ROWS: 1, AVERAGE: 2.0
NAME: sgbj-GIFted.jar, ROWS: 1, AVERAGE: 2.0
NAME: Tanks-iOS-New-Java-Version.jar, ROWS: 1, AVERAGE: 2.0
NAME: mattnenterprise-Sudoku.jar, ROWS: 1, AVERAGE: 2.0
NAME: ClathomasPrime-deriver.jar, ROWS: 5, AVERAGE: 1.0
NAME: Sanchiz-ack-ack.jar, ROWS: 3, AVERAGE: 2.0
NAME: Peter-Odd-DollyWood.jar, ROWS: 1, AVERAGE: 2.0
NAME: UCSB-CS56-Projects-cs56-utilities-binary-clock.jar, ROWS: 16, AVERAGE: 2.125
NAME: monotonous-Java-Animation.jar, ROWS: 2, AVERAGE: 3.0
NAME: ChicoSystems-ImgurDL.jar, ROWS: 1, AVERAGE: 1.0
NAME: gfink-project2CSCE315v2.jar, ROWS: 2, AVERAGE: 1.0
NAME: beckchr-ithaka-digraph.jar, ROWS: 2, AVERAGE: 1.0
NAME: TheMSB-P2EO.jar, ROWS: 2, AVERAGE: 1.5
NAME: carl-ellis-JEnigma.jar, ROWS: 3, AVERAGE: 2.0
NAME: Sopamo-runner.jar, ROWS: 9, AVERAGE: 3.4444444
NAME: RenjiClark-Refactoring-SDD-2010.jar, ROWS: 1, AVERAGE: 1.0
NAME: dcruwys-ZombieSimulator2001.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: nikars-SMPaint.jar, ROWS: 5, AVERAGE: 3.6
NAME: tothandras-Brainiac_SzLab4.jar, ROWS: 6, AVERAGE: 2.3333333
NAME: Reagan-Custom-UI-components.jar, ROWS: 7, AVERAGE: 1.8571428
NAME: Mirroman05-2dShooter.jar, ROWS: 3, AVERAGE: 1.0
NAME: tiljeset-cg.jar, ROWS: 1, AVERAGE: 5.0
NAME: pierreraimbaud-CamembertGLI.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: d361pomeranz-GridDefender.jar, ROWS: 5, AVERAGE: 1.0
NAME: jianchang-QTMV2V-Simulator.jar, ROWS: 3, AVERAGE: 1.0
NAME: iminto-SmartUtil.jar, ROWS: 1, AVERAGE: 3.0
NAME: Ian9802-Console_Wars.jar, ROWS: 3, AVERAGE: 1.0
NAME: sideeffect42-Evil-Chicken.jar, ROWS: 1, AVERAGE: 2.0
NAME: derekcannon-MoleculeMaker.jar, ROWS: 3, AVERAGE: 1.0
NAME: steelsoul-jt2.jar, ROWS: 2, AVERAGE: 1.0
NAME: fyeh1-Pokemon.jar, ROWS: 1, AVERAGE: 1.0
NAME: NickHolt-Tetrocity.jar, ROWS: 1, AVERAGE: 1.0
NAME: alexanderjeurissen-Mobile-Robot-Explorer-MVC-version.jar, ROWS: 4, AVERAGE: 3.25
NAME: ctlab-metafast.jar, ROWS: 1, AVERAGE: 2.0
NAME: kromatum-OsSim.jar, ROWS: 25, AVERAGE: 1.96
NAME: InI4-ingress-hacktrack.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: sptrans-RTBT.jar, ROWS: 1, AVERAGE: 3.0
NAME: foehammer88-SE442-Heartbeat.jar, ROWS: 1, AVERAGE: 2.0
NAME: ddurfee-TemperamentStudio.jar, ROWS: 2, AVERAGE: 1.0
NAME: tomoyanp-OrfDemo.jar, ROWS: 1, AVERAGE: 1.0
NAME: st3soren-sws-RoboCode-Bots.jar, ROWS: 13, AVERAGE: 1.2307693
NAME: DonatasD-SystemForAreaPlanning.jar, ROWS: 2, AVERAGE: 1.5
NAME: bamboo3250-KanjiMemo.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: deepakar-Trusted_Computing.jar, ROWS: 3, AVERAGE: 1.0
NAME: csotiriou-tic-tac-4.jar, ROWS: 1, AVERAGE: 2.0
NAME: bambalooon-PursuitSimulation.jar, ROWS: 1, AVERAGE: 1.0
NAME: dmac100-clipper.jar, ROWS: 2, AVERAGE: 2.5
NAME: clubcapra-RangeFinderConfigurator.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: Mrparkers-MyoPaint.jar, ROWS: 1, AVERAGE: 3.0
NAME: bondolo-MapTiles.jar, ROWS: 15, AVERAGE: 2.6
NAME: coding-freedom-SpyEye.jar, ROWS: 1, AVERAGE: 2.0
NAME: yangpiao-05830-Homeworks.jar, ROWS: 9, AVERAGE: 3.6666667
NAME: victorparece-RoboticsAssignment.jar, ROWS: 2, AVERAGE: 1.0
NAME: ciuncan-ChnRxn.jar, ROWS: 4, AVERAGE: 1.25
NAME: hhouwink-gamemaker09.jar, ROWS: 1, AVERAGE: 3.0
NAME: edipocrispim-SistemaDinamico.jar, ROWS: 1, AVERAGE: 1.0
NAME: atlex-amlib.jar, ROWS: 2, AVERAGE: 1.0
NAME: floriankrueger-EducationalMonopoly.jar, ROWS: 2, AVERAGE: 1.5
NAME: mikera-mikera-gui.jar, ROWS: 1, AVERAGE: 1.0
NAME: stackia-Differ.jar, ROWS: 1, AVERAGE: 2.0
NAME: danap-myjsqlview-querybuilder.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: meip-slibrary.jar, ROWS: 1, AVERAGE: 3.0
NAME: yusiangpotato-pull-the-other-one-it-has-bells-on.jar, ROWS: 2, AVERAGE: 2.5
NAME: cmw244-ClockApplet.jar, ROWS: 2, AVERAGE: 1.0
NAME: fishdev-JImageViewer.jar, ROWS: 2, AVERAGE: 2.5
NAME: acuerol-PublicTransportCenterServer.jar, ROWS: 11, AVERAGE: 1.2727273
NAME: kevinkdo-draw.jar, ROWS: 1, AVERAGE: 3.0
NAME: WilliamCarlos-APCS_Independent_Project.jar, ROWS: 1, AVERAGE: 1.0
NAME: Sinius15-Maze.jar, ROWS: 1, AVERAGE: 2.0
NAME: dsaiko-genetic-load-organizer.jar, ROWS: 1, AVERAGE: 3.0
NAME: warrenfalk-lwjgl-fonts.jar, ROWS: 18, AVERAGE: 2.0555556
NAME: ishamy-pis-p2.jar, ROWS: 2, AVERAGE: 1.0
NAME: beckchr-ithaka-treemap.jar, ROWS: 1, AVERAGE: 3.0
